PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01019477,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01019495,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01019592,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01020189,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01020561,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01020708,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01020863,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01021467,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01021513,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01021651,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01021965,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01022014,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01022071,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01023541,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01023617,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01023643,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01023657,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01024382,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01025649,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01025699,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01025701,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01025728,MALE,1
