LSOA_Code,LSOA_Name,District,DERI_Score,Digital_Access,Demography_Score,Deprivation_Score,Broadband_Score,Avg_Download_Speed_Mbps,No_Superfast_Broadband_Pct,Slow_Connections_Pct,Aged_65_Plus_Pct,Day_To_Day_Limited_Pct,No_Qualifications_Pct,Pension_Credit_Rate,Unemployment_Rate,Social_Grade_DE_Pct,IMD_2019_Score
E01026306,South Kesteven 014D,South Kesteven,2.486027806507966,0.7513972193492033,2.806169785876362,1.5030523305881665,3.1488613030593697,41.2332853,0.0,0.0,25.825991199999997,18.8876652,30.251346499999997,29.0,1.9823789,6.6079295,16.479
E01026307,South Kesteven 014E,South Kesteven,2.2764593577041192,0.7723540642295881,2.4484358880293273,0.7666348336799717,3.6143073514030593,41.50611855,1400.0,0.0,26.823708200000002,12.4620061,21.9236209,7.0,0.3799392,3.4954407,4.377
E01026308,South Kesteven 005A,South Kesteven,2.1098469333389462,0.7890153066661054,1.4784416730579983,1.80982749599201,3.0412716309668295,121.6996008,750.0,7.526881700000001,9.0357793,14.857489400000002,20.3187251,11.0,8.3687083,19.587628900000002,44.358
E01026309,South Kesteven 005B,South Kesteven,2.20837352111767,0.779162647888233,2.3907685620498986,1.3834004159476527,2.8509515853554586,107.8222222,0.0,0.0,20.9759189,17.2370089,30.721649499999998,11.0,2.1546261,11.8504436,17.472
E01026310,South Kesteven 005C,South Kesteven,2.329538670928711,0.7670461329071289,2.3913120099042855,1.7916450895964857,2.8056589132853627,117.9460641,0.0,0.0,19.8691742,18.3156173,34.835355299999996,13.0,2.9435814000000002,14.227309899999998,29.117
E01026311,South Kesteven 005D,South Kesteven,2.2871280310864552,0.7712871968913545,2.0152695899035677,1.9705674712632313,2.8755470320925673,102.324635,0.0,0.0,14.2610696,17.9988499,40.6562054,20.0,2.8752156,12.7659574,26.801
E01026312,South Kesteven 005E,South Kesteven,2.204592722234861,0.7795407277765138,1.4809863692151126,2.347573979592612,2.785217817896859,122.5150685,0.0,0.0,8.8616224,15.064758000000001,44.007858500000005,9.0,3.7491479,16.8370825,43.231
E01026313,South Kesteven 001A,South Kesteven,2.317581816947886,0.7682418183052114,2.867892033189986,0.8520578642319805,3.2327955534216906,75.37211538,710.0,0.0,28.7625418,16.9899666,17.9636835,16.0,1.0033445,4.0133779,9.271
E01026314,South Kesteven 001B,South Kesteven,2.2237491094494355,0.7776250890550565,2.4517028029206878,1.1362614826321815,3.0832830427954376,55.89137255,0.0,0.0,23.3180428,15.9021407,29.183955700000002,8.0,1.7584098,6.269113099999999,9.807
E01026315,South Kesteven 009A,South Kesteven,2.613548653029655,0.7386451346970345,2.9568083053262844,1.2856307054672054,3.5982069482954753,45.35197531,1390.0,13.8888889,28.725905,18.3826986,26.747720400000002,16.0,1.0343206,5.5007052000000005,17.467
E01026316,South Kesteven 007D,South Kesteven,2.427831056337876,0.7572168943662124,2.883739896891905,1.1301849657783358,3.2695683063433876,63.64377828,660.0,3.030303,29.684378700000003,16.340391500000003,22.0405494,18.0,0.5992809,5.2337195,16.25
E01026317,South Kesteven 006A,South Kesteven,1.7853544975357323,0.8214645502464268,1.1855843477457157,1.2638642247587193,2.906614920102761,95.38032432,0.0,0.0,9.139344300000001,10.2868852,16.746588000000003,20.0,4.1803279,14.3852459,24.806
E01026318,South Kesteven 006B,South Kesteven,1.905289917972116,0.8094710082027884,1.3631009720269924,1.359816089915441,2.9929526919739153,96.9439759,280.0,0.0,10.479798,11.7003367,22.4919094,18.0,3.1986532,13.005050500000001,23.416
E01026319,South Kesteven 006C,South Kesteven,2.0910132551672427,0.7908986744832758,2.0291272813115055,0.9580583727075567,3.285854111482666,86.60955961,1019.9999999999999,0.0,19.595588199999998,13.0514706,19.4591729,17.0,1.4338235,5.6617647,11.281
E01026321,South Kesteven 004B,South Kesteven,2.261893989792364,0.7738106010207636,2.8745889788748995,1.0627434118149766,2.848349578687215,108.4038241,0.0,0.0,26.696495199999998,19.090231199999998,28.2991202,9.0,1.4168531,4.1759881,7.568
E01026322,South Kesteven 004C,South Kesteven,2.252243009909797,0.7747756990090203,2.5521361051170484,1.2270811994747537,2.9775117251375884,90.70945946,150.0,0.0,24.0291262,16.7475728,32.2727273,10.0,1.6990291000000002,6.7961165,9.107
E01026323,South Kesteven 004D,South Kesteven,2.33598376633393,0.766401623366607,2.659350110307777,1.3701670440503275,2.9784341446436855,79.32725345,0.0,0.0,20.8205128,21.4871795,16.4619557,34.0,3.5897436,12.256410299999999,25.017
E01026324,South Kesteven 004E,South Kesteven,1.986201520328762,0.8013798479671238,2.2145565490348975,0.9026309254403608,2.8414170865110275,109.9533784,0.0,0.0,22.185586400000002,13.3772963,25.2455796,6.0,1.2717852,6.8770608,5.641
E01026325,South Kesteven 003A,South Kesteven,2.4023887083103825,0.7597611291689618,2.1997849007313612,2.1546478591387275,2.8527333650610593,119.3450526,160.0,0.0,14.0520896,21.0175651,48.476052200000005,17.0,2.1804967,10.781344599999999,26.801
E01026326,South Kesteven 003B,South Kesteven,2.4491112760747775,0.7550888723925222,3.1267004070413495,1.367002817202112,2.853630603980871,116.1642276,120.0,0.0,26.004228299999998,23.6081748,32.5842697,11.0,1.9732205999999999,7.6814658,14.435
E01026327,South Kesteven 003C,South Kesteven,2.62911162282192,0.737088837717808,3.160090913319604,1.7523431825525173,2.9749007725936374,111.7075547,420.0,4.1666666999999995,25.642909600000003,24.4673035,38.441215299999996,12.0,2.3512123,9.625275499999999,23.542
