LSOA_CODE,LSOA_NAME,LAD_CODE,LAD_NAME,ONS_Pop_Total_2024,ONS_Pop_0to17,ONS_Pop_18to64,ONS_Pop_65plus,ONS_Pop_18plus,Pct_18plus,Pct_65plus,Pct_0to17,Pct_18to64,GP_Registered_Patients,GP_Registration_Rate_Pct,Registration_Gap_Est,List_Inflation_Est
E01026358,South Kesteven 016F,E07000141,South Kesteven,1382,216,718,448,1166,84.37047756874095,32.41678726483357,15.629522431259044,51.953690303907386,1156,83.64688856729377,226,0
E01026357,South Kesteven 016E,E07000141,South Kesteven,1347,280,749,318,1067,79.21306607275427,23.608017817371937,20.786933927245734,55.60504825538233,1177,87.37936154417223,170,0
E01026364,South Kesteven 012E,E07000141,South Kesteven,1853,328,970,555,1525,82.29897463572586,29.951430113329735,17.70102536427415,52.34754452239612,1798,97.0318402590394,55,0
E01026363,South Kesteven 012D,E07000141,South Kesteven,1968,213,1027,728,1755,89.17682926829268,36.99186991869919,10.823170731707316,52.1849593495935,1921,97.61178861788618,47,0
E01026362,South Kesteven 012C,E07000141,South Kesteven,1721,356,961,404,1365,79.31435212085997,23.47472399767577,20.685647879140035,55.83962812318419,1779,103.37013364323069,0,58
E01026361,South Kesteven 008D,E07000141,South Kesteven,2652,486,1436,730,2166,81.67420814479638,27.526395173454,18.32579185520362,54.14781297134238,2670,100.6787330316742,0,18
E01026352,South Kesteven 003E,E07000141,South Kesteven,1295,224,633,438,1071,82.70270270270271,33.82239382239382,17.2972972972973,48.88030888030888,1330,102.7027027027027,0,35
E01026351,South Kesteven 016C,E07000141,South Kesteven,1477,217,846,414,1260,85.30805687203792,28.029790115098173,14.691943127962084,57.27826675693974,1435,97.1563981042654,42,0
E01026350,South Kesteven 016B,E07000141,South Kesteven,2078,336,1040,702,1742,83.8306063522618,33.78248315688162,16.169393647738207,50.04812319538018,2231,107.3628488931665,0,153
E01026349,South Kesteven 016A,E07000141,South Kesteven,1485,258,835,392,1227,82.62626262626263,26.397306397306398,17.373737373737374,56.22895622895623,1346,90.63973063973064,139,0
E01026356,South Kesteven 016D,E07000141,South Kesteven,1432,319,881,232,1113,77.72346368715084,16.201117318435752,22.276536312849164,61.522346368715084,1165,81.35474860335195,267,0
