LSOA_Code,LSOA_Name,Local_Authority_District,Resident_Population_ONS_2024,GP_Registered_Patients,Number_Difference,Percentage_Difference_Pct,GP_Registration_Coverage_Pct
E01026377,West Lindsey 006D,West Lindsey,2221,2262,41,1.85,101.85
E01026169,Lincoln 011G,Lincoln,1764,1804,40,2.27,102.27
E01026228,North Kesteven 011A,North Kesteven,1730,1769,39,2.25,102.25
E01026328,South Kesteven 003D,South Kesteven,1550,1587,37,2.39,102.39
E01026097,East Lindsey 015D,East Lindsey,1497,1534,37,2.47,102.47
E01026156,Lincoln 004G,Lincoln,1317,1353,36,2.73,102.73
E01026369,West Lindsey 011B,West Lindsey,1354,1390,36,2.66,102.66
E01026352,South Kesteven 003E,South Kesteven,1295,1330,35,2.7,102.7
E01026221,North Kesteven 009B,North Kesteven,2489,2524,35,1.41,101.41
E01026116,East Lindsey 012D,East Lindsey,1661,1695,34,2.05,102.05
E01026212,North Kesteven 005D,North Kesteven,1594,1627,33,2.07,102.07
E01026060,East Lindsey 009A,East Lindsey,1284,1317,33,2.57,102.57
E01026142,Lincoln 011F,Lincoln,1233,1266,33,2.68,102.68
E01026235,North Kesteven 010E,North Kesteven,1646,1679,33,2.0,102.0
E01026376,West Lindsey 006C,West Lindsey,1634,1666,32,1.96,101.96
E01026360,South Kesteven 012B,South Kesteven,2151,2182,31,1.44,101.44
E01026372,West Lindsey 008A,West Lindsey,2938,2969,31,1.06,101.06
E01026140,Lincoln 011D,Lincoln,1315,1343,28,2.13,102.13
E01026044,East Lindsey 008C,East Lindsey,1346,1374,28,2.08,102.08
E01026342,South Kesteven 008C,South Kesteven,1362,1389,27,1.98,101.98
E01026202,North Kesteven 012C,North Kesteven,2012,2039,27,1.34,101.34
E01026259,South Holland 005C,South Holland,1742,1768,26,1.49,101.49
E01026127,Lincoln 007A,Lincoln,1392,1417,25,1.8,101.8
E01026175,Lincoln 010E,Lincoln,1952,1975,23,1.18,101.18
E01026286,South Holland 004E,South Holland,1259,1282,23,1.83,101.83
E01026172,Lincoln 010C,Lincoln,1649,1671,22,1.33,101.33
E01026079,East Lindsey 002C,East Lindsey,1947,1968,21,1.08,101.08
E01026183,North Kesteven 007B,North Kesteven,2887,2908,21,0.73,100.73
E01026064,East Lindsey 011A,East Lindsey,1623,1644,21,1.29,101.29
E01026313,South Kesteven 001A,South Kesteven,1485,1505,20,1.35,101.35
E01026392,West Lindsey 003D,West Lindsey,3162,3182,20,0.63,100.63
E01034705,South Kesteven 010G,South Kesteven,1676,1696,20,1.19,101.19
E01026294,South Kesteven 007C,South Kesteven,1551,1570,19,1.23,101.23
E01026361,South Kesteven 008D,South Kesteven,2652,2670,18,0.68,100.68
E01026257,South Holland 002C,South Holland,2259,2277,18,0.8,100.8
E01026058,East Lindsey 002A,East Lindsey,2413,2431,18,0.75,100.75
E01032987,East Lindsey 004E,East Lindsey,1426,1444,18,1.26,101.26
E01026219,North Kesteven 014D,North Kesteven,1146,1163,17,1.48,101.48
E01026287,South Kesteven 015A,South Kesteven,1289,1305,16,1.24,101.24
E01026310,South Kesteven 005C,South Kesteven,1143,1158,15,1.31,101.31
E01026354,South Kesteven 003G,South Kesteven,1135,1150,15,1.32,101.32
E01026413,West Lindsey 008C,West Lindsey,2080,2094,14,0.67,100.67
E01026348,South Kesteven 015F,South Kesteven,1248,1261,13,1.04,101.04
E01026330,South Kesteven 012A,South Kesteven,2137,2149,12,0.56,100.56
E01026260,South Holland 005D,South Holland,2030,2042,12,0.59,100.59
E01026374,West Lindsey 006A,West Lindsey,1678,1689,11,0.66,100.66
E01026112,East Lindsey 017D,East Lindsey,1284,1292,8,0.62,100.62
E01026393,West Lindsey 010A,West Lindsey,1529,1537,8,0.52,100.52
E01026109,East Lindsey 006C,East Lindsey,1993,2001,8,0.4,100.4
E01026398,West Lindsey 009C,West Lindsey,1551,1558,7,0.45,100.45
E01026396,West Lindsey 009A,West Lindsey,1245,1250,5,0.4,100.4
E01034685,East Lindsey 012E,East Lindsey,1238,1242,4,0.32,100.32
E01026048,East Lindsey 010A,East Lindsey,1671,1675,4,0.24,100.24
E01026408,West Lindsey 002F,West Lindsey,1384,1388,4,0.29,100.29
E01026255,South Holland 008B,South Holland,2070,2074,4,0.19,100.19
E01026205,North Kesteven 005B,North Kesteven,1698,1702,4,0.24,100.24
E01026168,Lincoln 001D,Lincoln,1742,1744,2,0.11,100.11
E01026189,North Kesteven 001C,North Kesteven,1769,1770,1,0.06,100.06
E01026101,East Lindsey 013F,East Lindsey,1375,1376,1,0.07,100.07
E01026038,Boston 008D,Boston,1458,1459,1,0.07,100.07
E01026222,North Kesteven 009C,North Kesteven,1804,1805,1,0.06,100.06
E01026248,South Holland 002B,South Holland,2393,2393,0,0.0,100.0
E01026180,North Kesteven 007A,North Kesteven,1495,1495,0,0.0,100.0
E01026293,South Kesteven 007B,South Kesteven,2053,2053,0,0.0,100.0
E01026344,South Kesteven 006E,South Kesteven,1486,1485,-1,-0.07,99.93
E01026380,West Lindsey 002A,West Lindsey,2719,2718,-1,-0.04,99.96
E01026134,Lincoln 006A,Lincoln,2030,2027,-3,-0.15,99.85
E01026191,North Kesteven 005A,North Kesteven,1878,1875,-3,-0.16,99.84
E01026204,North Kesteven 001E,North Kesteven,1575,1572,-3,-0.19,99.81
E01026410,West Lindsey 007D,West Lindsey,1602,1598,-4,-0.25,99.75
E01026304,South Kesteven 014B,South Kesteven,1480,1476,-4,-0.27,99.73
E01026108,East Lindsey 003G,East Lindsey,2556,2552,-4,-0.16,99.84
E01026323,South Kesteven 004D,South Kesteven,2068,2063,-5,-0.24,99.76
E01026236,North Kesteven 011E,North Kesteven,1134,1129,-5,-0.44,99.56
E01026163,Lincoln 009F,Lincoln,1341,1336,-5,-0.37,99.63
E01026022,Boston 008C,Boston,2284,2279,-5,-0.22,99.78
E01026226,North Kesteven 003F,North Kesteven,1848,1840,-8,-0.43,99.57
E01026088,East Lindsey 003D,East Lindsey,1392,1384,-8,-0.57,99.43
E01026111,East Lindsey 017C,East Lindsey,1528,1520,-8,-0.52,99.48
E01026210,North Kesteven 007C,North Kesteven,2493,2485,-8,-0.32,99.68
E01026152,Lincoln 004E,Lincoln,1640,1630,-10,-0.61,99.39
E01026246,South Holland 002A,South Holland,2324,2314,-10,-0.43,99.57
E01026319,South Kesteven 006C,South Kesteven,2675,2664,-11,-0.41,99.59
E01026405,West Lindsey 010D,West Lindsey,1671,1659,-12,-0.72,99.28
E01026147,Lincoln 003C,Lincoln,2532,2520,-12,-0.47,99.53
E01026331,South Kesteven 009B,South Kesteven,2454,2441,-13,-0.53,99.47
E01026158,Lincoln 009B,Lincoln,1401,1386,-15,-1.07,98.93
E01026318,South Kesteven 006B,South Kesteven,2266,2251,-15,-0.66,99.34
E01026009,Boston 001C,Boston,1255,1240,-15,-1.2,98.8
E01026089,East Lindsey 004C,East Lindsey,1977,1961,-16,-0.81,99.19
E01026148,Lincoln 003D,Lincoln,1891,1874,-17,-0.9,99.1
E01026192,North Kesteven 006A,North Kesteven,1224,1207,-17,-1.39,98.61
E01026378,West Lindsey 004A,West Lindsey,1822,1804,-18,-0.99,99.01
E01026185,North Kesteven 004B,North Kesteven,2544,2526,-18,-0.71,99.29
E01034707,West Lindsey 009F,West Lindsey,1324,1306,-18,-1.36,98.64
E01034701,South Kesteven 004F,South Kesteven,1743,1724,-19,-1.09,98.91
E01034702,South Kesteven 004G,South Kesteven,1614,1595,-19,-1.18,98.82
E01026238,North Kesteven 004F,North Kesteven,1631,1612,-19,-1.16,98.84
E01026213,North Kesteven 005E,North Kesteven,1679,1660,-19,-1.13,98.87
E01026194,North Kesteven 006B,North Kesteven,2324,2305,-19,-0.82,99.18
E01026214,North Kesteven 014A,North Kesteven,1095,1073,-22,-2.01,97.99
E01026340,South Kesteven 002B,South Kesteven,2305,2282,-23,-1.0,99.0
E01034689,Lincoln 007E,Lincoln,1219,1195,-24,-1.97,98.03
E01026283,South Holland 004C,South Holland,1792,1766,-26,-1.45,98.55
E01026338,South Kesteven 009C,South Kesteven,1271,1245,-26,-2.05,97.95
E01026379,West Lindsey 004B,West Lindsey,1903,1876,-27,-1.42,98.58
E01026042,East Lindsey 008A,East Lindsey,1782,1755,-27,-1.52,98.48
E01026125,Lincoln 003A,Lincoln,1343,1315,-28,-2.08,97.92
E01026373,West Lindsey 011E,West Lindsey,2278,2250,-28,-1.23,98.77
E01026071,East Lindsey 007A,East Lindsey,2089,2060,-29,-1.39,98.61
E01026299,South Kesteven 010A,South Kesteven,1669,1639,-30,-1.8,98.2
E01026404,West Lindsey 007B,West Lindsey,2614,2583,-31,-1.19,98.81
E01026139,Lincoln 011C,Lincoln,1318,1287,-31,-2.35,97.65
E01026292,South Kesteven 007A,South Kesteven,1381,1349,-32,-2.32,97.68
E01026174,Lincoln 008D,Lincoln,1588,1556,-32,-2.02,97.98
E01026155,Lincoln 002B,Lincoln,1766,1733,-33,-1.87,98.13
E01026324,South Kesteven 004E,South Kesteven,2010,1975,-35,-1.74,98.26
E01026347,South Kesteven 015E,South Kesteven,1489,1453,-36,-2.42,97.58
E01032995,South Holland 006F,South Holland,1524,1488,-36,-2.36,97.64
E01026206,North Kesteven 001F,North Kesteven,1832,1796,-36,-1.97,98.03
E01026209,North Kesteven 009A,North Kesteven,2073,2037,-36,-1.74,98.26
E01026381,West Lindsey 004C,West Lindsey,1704,1667,-37,-2.17,97.83
E01026415,West Lindsey 003E,West Lindsey,1149,1111,-38,-3.31,96.69
E01026279,South Holland 008F,South Holland,1375,1337,-38,-2.76,97.24
E01026068,East Lindsey 009B,East Lindsey,2111,2073,-38,-1.8,98.2
E01026416,West Lindsey 001D,West Lindsey,1325,1286,-39,-2.94,97.06
E01032996,South Holland 006G,South Holland,1443,1404,-39,-2.7,97.3
E01026082,East Lindsey 007B,East Lindsey,2359,2319,-40,-1.7,98.3
E01026150,Lincoln 001B,Lincoln,1803,1762,-41,-2.27,97.73
E01026351,South Kesteven 016C,South Kesteven,1477,1435,-42,-2.84,97.16
E01026103,East Lindsey 006A,East Lindsey,1986,1942,-44,-2.22,97.78
E01026239,South Holland 011A,South Holland,2138,2094,-44,-2.06,97.94
E01026229,North Kesteven 011B,North Kesteven,1897,1850,-47,-2.48,97.52
E01026363,South Kesteven 012D,South Kesteven,1968,1921,-47,-2.39,97.61
E01026237,North Kesteven 004E,North Kesteven,1119,1072,-47,-4.2,95.8
E01026110,East Lindsey 017B,East Lindsey,1483,1435,-48,-3.24,96.76
E01032986,East Lindsey 004D,East Lindsey,1162,1112,-50,-4.3,95.7
E01032993,North Kesteven 013D,North Kesteven,2499,2449,-50,-2.0,98.0
E01026045,East Lindsey 001A,East Lindsey,1817,1765,-52,-2.86,97.14
E01034698,South Holland 006I,South Holland,1789,1736,-53,-2.96,97.04
E01026334,South Kesteven 013A,South Kesteven,1517,1463,-54,-3.56,96.44
E01026130,Lincoln 009A,Lincoln,1453,1398,-55,-3.79,96.21
E01026364,South Kesteven 012E,South Kesteven,1853,1798,-55,-2.97,97.03
E01032999,South Kesteven 011G,South Kesteven,1277,1216,-61,-4.78,95.22
E01026297,South Kesteven 011C,South Kesteven,1513,1451,-62,-4.1,95.9
E01032994,North Kesteven 003H,North Kesteven,1536,1472,-64,-4.17,95.83
E01026160,Lincoln 009D,Lincoln,1369,1303,-66,-4.82,95.18
E01026201,North Kesteven 012B,North Kesteven,2118,2051,-67,-3.16,96.84
E01026335,South Kesteven 013B,South Kesteven,1515,1447,-68,-4.49,95.51
E01026057,East Lindsey 018A,East Lindsey,1996,1928,-68,-3.41,96.59
E01026336,South Kesteven 013C,South Kesteven,1991,1922,-69,-3.47,96.53
