"lsoa11","samhi_index.2011","samhi_dec.2011","samhi_index.2012","samhi_dec.2012","samhi_index.2013","samhi_dec.2013","samhi_index.2014","samhi_dec.2014","samhi_index.2015","samhi_dec.2015","samhi_index.2016","samhi_dec.2016","samhi_index.2017","samhi_dec.2017","samhi_index.2018","samhi_dec.2018","samhi_index.2019","samhi_dec.2019","samhi_index.2020","samhi_dec.2020","samhi_index.2021","samhi_dec.2021","samhi_index.2022","samhi_dec.2022"
"E01003285",-1.16498763857649,4,-1.33513705120711,2,-1.12719650360023,3,-0.992480791060869,3,-1.23193086814881,1,-1.34220531637229,1,-1.31808138617942,1,-1.03142545055254,1,-0.984917192949263,1,-0.87074787362825,1,-0.550316625525631,1,-0.7028549996285,1
"E01003286",-0.879030939466716,6,-0.817829591552991,5,-0.562194492076082,6,-1.1332338646369,2,-1.15497145483215,2,-0.542094002394587,4,-0.515941911700488,3,-0.343746227208271,3,-0.150540774377688,3,-0.238183336954788,2,0.104633053921546,3,0.308737137197543,4
"E01003287",-1.35639938500902,3,-1.39462989484175,2,-1.29812787932755,2,-1.04559773906087,3,-1.30448208076479,1,-1.15078684843235,1,-1.04068084637382,1,-0.759617421400798,1,-0.749854924008248,1,-0.602475502760739,1,-0.572929143962513,1,-0.64473424466505,1
"E01003288",-1.04256257026074,5,-0.460037196461241,7,-0.687344148651639,6,-0.237405797550437,7,-0.486239741047741,5,-0.920485971969042,2,-0.828504360190226,2,-0.28037456256231,3,0.491917601327217,6,0.241312664839325,5,0.535735638838031,5,0.734981397848266,6
"E01003290",-0.256403001773653,9,0.124484526656667,9,0.397346222377229,10,0.376251144910104,9,0.441467023194875,9,0.295373103409345,8,-0.0305241500249232,5,0.866934887139868,8,0.262112112938104,5,1.04448389317583,8,1.0797974959936,7,0.952247587595154,7
"E01003291",-0.329254812185336,9,-0.755720679910444,6,-0.397774297195707,7,0.954643390776696,10,1.44227061954985,10,-0.305760910608528,5,0.549350133469416,8,1.01186234557509,9,0.672501490831612,7,0.445209127100277,6,0.811615114135578,6,0.995111439525414,7
"E01003292",-1.30600327641511,3,-1.35372647837861,2,-1.08339484988176,3,-1.0321886908319,3,-0.806328517317677,3,-0.78363847450504,2,-0.723162754478553,2,-0.393106261536716,3,-0.265171880610036,2,-0.336795368489736,2,-0.14102165352387,2,-0.059902616345325,2
"E01003293",-0.925455278974949,6,-1.07554731874579,4,-0.755298771241666,5,-0.471227289653429,6,-0.239191157360562,6,-0.88276960995076,2,-0.939288014872495,1,-0.810459076530315,1,-0.441580891088288,2,-0.509202250753,2,-0.126813733040752,2,0.048755066412052,3
"E01003295",-1.22445511813292,4,-1.00491145114398,4,-0.585202370593574,6,-0.254342497140926,7,-0.172402787882388,6,-0.0464624244291633,6,-0.0420818413331788,5,0.787211284078426,8,0.0891987918134794,4,0.25363727538594,5,0.346513592569101,4,0.426730146649962,5
"E01003296",-1.26456612133948,3,-1.2205399900095,3,-1.05654121733575,4,-1.11547621914543,2,-0.872408096474641,3,-0.989967343722962,2,-0.905077688246308,1,-0.739976997847744,1,-0.763149121980575,1,-0.789863711434199,1,-0.65213785152386,1,-0.666874941218116,1
"E01003297",-0.886937870242928,6,-0.242957353676825,8,-0.363442520488879,7,-0.408228396604127,6,-0.531828621746708,5,-0.809756451964621,2,-0.662843851146826,2,-0.21545113191317,3,0.0286626858453741,4,0.126899742092178,4,-0.306553775407756,2,-0.272280960395745,2
"E01003298",-1.60016775132288,2,-1.68581912064696,1,-1.54615879667256,1,-1.3069802316905,2,-1.39493796690432,1,-0.899334143373646,2,-0.923398199086062,1,-0.767260211715178,1,-0.442191337292524,2,-0.581120003772868,1,-0.66825957215348,1,-0.457943833466246,1
"E01003299",-1.4988526330031,2,-1.18053579970469,3,-1.15071430831908,3,-1.15580443868594,2,-1.16247329817382,2,-0.745750603789839,3,-0.880727155662954,1,-0.443756085993008,2,-0.207748602078494,3,-0.190544448073556,3,-0.160053704537377,2,-0.067066214469878,2
"E01003300",-1.10110086938397,4,-0.965927004261503,4,-0.96444975815375,4,-1.00562299150637,3,-0.539648564153426,5,-0.781178944964841,2,-0.84368142055991,2,-0.170207577575085,4,-0.388027909581382,2,-0.301091274010009,2,-0.267795345791153,2,-0.058106698655494,2
"E01003301",-1.66621833938912,1,-1.74321019270339,1,-1.41774462101616,2,-1.40392750233985,1,-1.25119103198092,1,-1.16867469902081,1,-1.16136284394272,1,-0.837297252665016,1,-0.768003528496104,1,-0.525709666647182,1,-0.531584392915919,1,-0.537351159227152,1
"E01003302",-1.51159868956567,2,-1.33571114674367,2,-1.50570388913197,1,-1.24750239468245,2,-1.05589136236354,2,-0.890179563812343,2,-0.75446303519161,2,-0.317880686301054,3,0.308203561144127,5,-0.457771795548002,2,0.194606958077976,4,0.388245092134438,4
"E01003303",-0.733115263193605,7,-0.419500241435058,7,0.567336210829304,10,0.0646829342292038,8,-0.141026348819992,7,-0.668666702926711,3,-0.175106432030271,5,0.644109374455417,7,1.2322842822894,8,0.668706235086859,7,1.0989388824303,8,0.512627670174955,5
"E01003304",-1.45015298252439,2,-1.59948285459962,1,-0.960921593845213,4,-1.20366959614863,2,-1.19872907117236,1,-0.944887994694959,2,-0.985715492510835,1,-0.555622080704334,2,-0.623789008063548,1,-0.261661981702636,2,-0.478558263767706,1,-0.0984608282512382,2
"E01003305",-0.78446351967729,6,-0.840825767587562,5,-1.08156319171718,3,-0.48576500010665,6,-0.770371965996341,3,-0.779207743651223,2,-0.580539531872967,3,-0.00538015033904204,4,-0.00635014677480542,3,-0.222140748772853,2,-0.161959396321103,2,-0.28429081567951,2
"E01003307",-1.53203418541898,2,-1.27569934357106,2,-1.4398089466357,2,-1.34840743529729,1,-1.19103695751127,1,-1.07717350001544,1,-1.08084562208755,1,-0.560447180091051,2,-0.502976782909204,2,-0.534752727362438,1,-0.38372322165495,1,-0.254028134021033,2
"E01003308",-1.34147615541215,3,-0.802061679847168,5,-1.27806807492556,2,-1.34873049582891,1,-1.34195798687558,1,-0.686172072329423,3,-0.87560006694417,1,-0.672770903839604,2,-0.462867665356716,2,-0.0960650298757133,3,-0.235595543372024,2,-0.27439775590554,2
"E01003309",-0.872518880912602,6,-0.840731240464557,5,-0.81553366736743,5,-0.917552869297978,3,-0.797653829940998,3,-0.438718162109016,4,-0.586062619801602,3,-0.205801304473053,3,0.266194250480218,5,-0.00248647899727814,3,0.101227158616533,3,0.156666146059883,3
"E01003310",-0.968679357691091,5,-0.742964767616128,6,-0.792126090680569,5,-0.60893477993255,5,-1.06418957026134,2,-0.992718473824179,2,-0.705696138524558,2,-0.326203766647022,3,-0.331819575213136,2,-0.166612570460621,3,-0.0351112840144956,3,0.347544896142168,4
"E01003311",-1.35964099505999,3,-1.27540832947181,2,-1.32839175519886,2,-1.00966685553137,3,-1.31748346405893,1,-1.02700482775594,1,-1.12358100869564,1,-0.621428400517531,2,-0.487991912885343,2,-0.418825749888684,2,-0.276941750914125,2,-0.374909341379251,1
"E01003312",-1.36045883008374,3,-1.1090795152569,3,-1.38939207645288,2,-0.966518400528288,3,-1.03143941207808,2,-0.960867369722917,2,-0.710003701126287,2,-0.605069674356534,2,-0.637839664309308,1,-0.325513506760665,2,-0.253745143081154,2,0.128417803791223,3
