LSOA_Code,LSOA_Name,Total_All_Households,One-person household_Count,One-person household_Pct,One-person household: Aged 66 years and over_Count,One-person household: Aged 66 years and over_Pct,One-person household: Other_Count,One-person household: Other_Pct,Single family household_Count,Single family household_Pct,Single family household: All aged 66 years and over_Count,Single family household: All aged 66 years and over_Pct,Single family household: Married or civil partnership couple_Count,Single family household: Married or civil partnership couple_Pct,Single family household: Married or civil partnership couple: No children_Count,Single family household: Married or civil partnership couple: No children_Pct,Single family household: Married or civil partnership couple: Dependent children_Count,Single family household: Married or civil partnership couple: Dependent children_Pct,Single family household: Married or civil partnership couple: All children non-dependent_Count,Single family household: Married or civil partnership couple: All children non-dependent_Pct,Single family household: Cohabiting couple family_Count,Single family household: Cohabiting couple family_Pct,Single family household: Cohabiting couple family: No children_Count,Single family household: Cohabiting couple family: No children_Pct,Single family household: Cohabiting couple family: With dependent children_Count,Single family household: Cohabiting couple family: With dependent children_Pct,Single family household: Cohabiting couple family: All children non-dependent_Count,Single family household: Cohabiting couple family: All children non-dependent_Pct,Single family household: Lone parent family_Count,Single family household: Lone parent family_Pct,Single family household: Lone parent family: With dependent children_Count,Single family household: Lone parent family: With dependent children_Pct,Single family household: Lone parent family: All children non-dependent_Count,Single family household: Lone parent family: All children non-dependent_Pct,Single family household: Other single family household_Count,Single family household: Other single family household_Pct,Single family household: Other single family household: Other family composition_Count,Single family household: Other single family household: Other family composition_Pct,Other household types_Count,Other household types_Pct,Other household types: With dependent children_Count,Other household types: With dependent children_Pct,"Other household types: Other, including all full-time students and all aged 66 years and over_Count","Other household types: Other, including all full-time students and all aged 66 years and over_Pct"
E01026409,West Lindsey 007C,564,140,24.8,69,12.2,71,12.6,405,71.8,92,16.3,212,37.6,119,21.1,62,11.0,31,5.5,74,13.1,46,8.2,23,4.1,5,0.9,26,4.6,22,3.9,4,0.7,1,0.2,1,0.2,19,3.4,7,1.2,12,2.1
E01026410,West Lindsey 007D,784,220,28.1,147,18.8,73,9.3,538,68.6,242,30.9,212,27.0,127,16.2,50,6.4,35,4.5,45,5.7,31,4.0,10,1.3,4,0.5,39,5.0,15,1.9,24,3.1,0,0.0,0,0.0,26,3.3,14,1.8,12,1.5
E01026411,West Lindsey 005D,1101,293,26.6,145,13.2,148,13.4,761,69.1,162,14.7,412,37.4,215,19.5,126,11.4,71,6.4,117,10.6,61,5.5,48,4.4,8,0.7,67,6.1,35,3.2,32,2.9,3,0.3,3,0.3,47,4.3,18,1.6,29,2.6
E01026412,West Lindsey 008B,847,255,30.1,147,17.4,108,12.8,570,67.3,102,12.0,290,34.2,100,11.8,146,17.2,44,5.2,91,10.7,43,5.1,45,5.3,3,0.4,87,10.3,61,7.2,26,3.1,0,0.0,0,0.0,22,2.6,11,1.3,11,1.3
E01026413,West Lindsey 008C,893,222,24.9,124,13.9,98,11.0,643,72.0,137,15.3,355,39.8,124,13.9,174,19.5,57,6.4,84,9.4,36,4.0,41,4.6,7,0.8,66,7.4,47,5.3,19,2.1,1,0.1,1,0.1,28,3.1,15,1.7,13,1.5
E01026414,West Lindsey 008D,811,197,24.3,101,12.5,96,11.8,579,71.4,111,13.7,298,36.7,115,14.2,131,16.2,52,6.4,98,12.1,54,6.7,40,4.9,4,0.5,69,8.5,45,5.5,24,3.0,3,0.4,3,0.4,35,4.3,14,1.7,21,2.6
E01026415,West Lindsey 003E,493,156,31.6,64,13.0,92,18.7,314,63.7,63,12.8,142,28.8,78,15.8,47,9.5,17,3.4,70,14.2,31,6.3,33,6.7,6,1.2,38,7.7,30,6.1,8,1.6,1,0.2,1,0.2,23,4.7,10,2.0,13,2.6
E01026416,West Lindsey 001D,572,159,27.8,85,14.9,74,12.9,388,67.8,85,14.9,204,35.7,101,17.7,75,13.1,28,4.9,55,9.6,33,5.8,21,3.7,1,0.2,41,7.2,22,3.8,19,3.3,3,0.5,3,0.5,25,4.4,9,1.6,16,2.8
E01032683,West Lindsey 001G,1030,336,32.6,180,17.5,156,15.1,662,64.3,157,15.2,341,33.1,158,15.3,133,12.9,50,4.9,104,10.1,62,6.0,42,4.1,0,0.0,58,5.6,38,3.7,20,1.9,2,0.2,2,0.2,32,3.1,12,1.2,20,1.9
E01032986,East Lindsey 004D,597,277,46.4,103,17.3,174,29.1,301,50.4,58,9.7,113,18.9,72,12.1,32,5.4,9,1.5,66,11.1,45,7.5,17,2.8,4,0.7,62,10.4,37,6.2,25,4.2,2,0.3,2,0.3,19,3.2,6,1.0,13,2.2
E01032987,East Lindsey 004E,706,286,40.5,134,19.0,152,21.5,396,56.1,52,7.4,146,20.7,63,8.9,64,9.1,19,2.7,94,13.3,54,7.6,36,5.1,4,0.6,103,14.6,85,12.0,18,2.5,1,0.1,1,0.1,24,3.4,6,0.8,18,2.5
E01032988,North Kesteven 013B,798,212,26.6,82,10.3,130,16.3,557,69.8,47,5.9,255,32.0,95,11.9,126,15.8,34,4.3,139,17.4,78,9.8,53,6.6,8,1.0,113,14.2,71,8.9,42,5.3,3,0.4,3,0.4,29,3.6,9,1.1,20,2.5
E01032989,North Kesteven 013C,812,171,21.1,14,1.7,157,19.3,612,75.4,19,2.3,315,38.8,86,10.6,197,24.3,32,3.9,167,20.6,106,13.1,59,7.3,2,0.2,109,13.4,92,11.3,17,2.1,2,0.2,2,0.2,29,3.6,12,1.5,17,2.1
E01032991,North Kesteven 014E,935,244,26.1,107,11.4,137,14.7,641,68.6,87,9.3,311,33.3,104,11.1,172,18.4,35,3.7,151,16.1,81,8.7,63,6.7,7,0.7,88,9.4,59,6.3,29,3.1,4,0.4,4,0.4,50,5.3,18,1.9,32,3.4
E01032992,North Kesteven 014F,687,239,34.8,133,19.4,106,15.4,427,62.2,85,12.4,207,30.1,84,12.2,79,11.5,44,6.4,78,11.4,45,6.6,28,4.1,5,0.7,54,7.9,41,6.0,13,1.9,3,0.4,3,0.4,21,3.1,4,0.6,17,2.5
