LSOA_Code,LSOA_Name,Total_All_Households,One-person household_Count,One-person household_Pct,One-person household: Aged 66 years and over_Count,One-person household: Aged 66 years and over_Pct,One-person household: Other_Count,One-person household: Other_Pct,Single family household_Count,Single family household_Pct,Single family household: All aged 66 years and over_Count,Single family household: All aged 66 years and over_Pct,Single family household: Married or civil partnership couple_Count,Single family household: Married or civil partnership couple_Pct,Single family household: Married or civil partnership couple: No children_Count,Single family household: Married or civil partnership couple: No children_Pct,Single family household: Married or civil partnership couple: Dependent children_Count,Single family household: Married or civil partnership couple: Dependent children_Pct,Single family household: Married or civil partnership couple: All children non-dependent_Count,Single family household: Married or civil partnership couple: All children non-dependent_Pct,Single family household: Cohabiting couple family_Count,Single family household: Cohabiting couple family_Pct,Single family household: Cohabiting couple family: No children_Count,Single family household: Cohabiting couple family: No children_Pct,Single family household: Cohabiting couple family: With dependent children_Count,Single family household: Cohabiting couple family: With dependent children_Pct,Single family household: Cohabiting couple family: All children non-dependent_Count,Single family household: Cohabiting couple family: All children non-dependent_Pct,Single family household: Lone parent family_Count,Single family household: Lone parent family_Pct,Single family household: Lone parent family: With dependent children_Count,Single family household: Lone parent family: With dependent children_Pct,Single family household: Lone parent family: All children non-dependent_Count,Single family household: Lone parent family: All children non-dependent_Pct,Single family household: Other single family household_Count,Single family household: Other single family household_Pct,Single family household: Other single family household: Other family composition_Count,Single family household: Other single family household: Other family composition_Pct,Other household types_Count,Other household types_Pct,Other household types: With dependent children_Count,Other household types: With dependent children_Pct,"Other household types: Other, including all full-time students and all aged 66 years and over_Count","Other household types: Other, including all full-time students and all aged 66 years and over_Pct"
E01026103,East Lindsey 006A,1002,367,36.6,261,26.0,106,10.6,590,58.9,231,23.1,237,23.7,159,15.9,39,3.9,39,3.9,60,6.0,38,3.8,19,1.9,3,0.3,58,5.8,27,2.7,31,3.1,4,0.4,4,0.4,45,4.5,17,1.7,28,2.8
E01026104,East Lindsey 006B,1077,286,26.6,226,21.0,60,5.6,753,69.9,321,29.8,290,26.9,200,18.6,36,3.3,54,5.0,74,6.9,35,3.2,33,3.1,6,0.6,66,6.1,37,3.4,29,2.7,2,0.2,2,0.2,38,3.5,9,0.8,29,2.7
E01026105,East Lindsey 009D,996,244,24.5,155,15.6,89,8.9,713,71.6,189,19.0,367,36.8,212,21.3,113,11.3,42,4.2,92,9.2,62,6.2,28,2.8,2,0.2,61,6.1,32,3.2,29,2.9,4,0.4,4,0.4,39,3.9,15,1.5,24,2.4
E01026106,East Lindsey 001F,528,126,23.9,75,14.2,51,9.7,384,72.7,94,17.8,190,36.0,93,17.6,55,10.4,42,8.0,56,10.6,33,6.2,19,3.6,4,0.8,43,8.1,20,3.8,23,4.4,1,0.2,1,0.2,18,3.4,7,1.3,11,2.1
E01026107,East Lindsey 001G,503,103,20.5,43,8.5,60,11.9,377,75.0,68,13.5,198,39.4,93,18.5,70,13.9,35,7.0,65,12.9,33,6.6,29,5.8,3,0.6,43,8.5,26,5.2,17,3.4,3,0.6,3,0.6,23,4.6,11,2.2,12,2.4
E01026108,East Lindsey 003G,1093,369,33.8,150,13.7,219,20.0,685,62.7,85,7.8,297,27.2,118,10.8,138,12.6,41,3.8,140,12.8,69,6.3,57,5.2,14,1.3,151,13.8,91,8.3,60,5.5,12,1.1,12,1.1,39,3.6,17,1.6,22,2.0
E01026109,East Lindsey 006C,1116,405,36.3,251,22.5,154,13.8,665,59.6,260,23.3,263,23.6,199,17.8,33,3.0,31,2.8,83,7.4,62,5.6,17,1.5,4,0.4,57,5.1,21,1.9,36,3.2,2,0.2,2,0.2,46,4.1,13,1.2,33,3.0
E01026110,East Lindsey 017B,689,200,29.0,127,18.4,73,10.6,454,65.9,126,18.3,208,30.2,113,16.4,49,7.1,46,6.7,77,11.2,39,5.7,32,4.6,6,0.9,42,6.1,30,4.4,12,1.7,1,0.1,1,0.1,35,5.1,16,2.3,19,2.8
E01026111,East Lindsey 017C,672,173,25.7,105,15.6,68,10.1,455,67.7,117,17.4,216,32.1,102,15.2,61,9.1,53,7.9,61,9.1,28,4.2,28,4.2,5,0.7,56,8.3,33,4.9,23,3.4,5,0.7,5,0.7,44,6.5,19,2.8,25,3.7
E01026112,East Lindsey 017D,499,153,30.7,74,14.8,79,15.8,314,62.9,32,6.4,137,27.5,57,11.4,52,10.4,28,5.6,70,14.0,33,6.6,33,6.6,4,0.8,73,14.6,55,11.0,18,3.6,2,0.4,2,0.4,32,6.4,17,3.4,15,3.0
E01026113,East Lindsey 008D,921,260,28.2,160,17.4,100,10.9,612,66.4,186,20.2,290,31.5,165,17.9,78,8.5,47,5.1,79,8.6,46,5.0,21,2.3,12,1.3,54,5.9,24,2.6,30,3.3,3,0.3,3,0.3,49,5.3,21,2.3,28,3.0
E01026114,East Lindsey 014D,782,317,40.5,126,16.1,191,24.4,410,52.4,68,8.7,147,18.8,77,9.8,47,6.0,23,2.9,110,14.1,57,7.3,48,6.1,5,0.6,81,10.4,46,5.9,35,4.5,4,0.5,4,0.5,55,7.0,23,2.9,32,4.1
E01026115,East Lindsey 012C,821,287,35.0,186,22.7,101,12.3,494,60.2,119,14.5,202,24.6,111,13.5,56,6.8,35,4.3,91,11.1,53,6.5,32,3.9,6,0.7,77,9.4,42,5.1,35,4.3,5,0.6,5,0.6,40,4.9,17,2.1,23,2.8
E01026116,East Lindsey 012D,728,197,27.1,89,12.2,108,14.8,486,66.8,92,12.6,221,30.4,105,14.4,67,9.2,49,6.7,96,13.2,43,5.9,45,6.2,8,1.1,75,10.3,48,6.6,27,3.7,2,0.3,2,0.3,45,6.2,20,2.7,25,3.4
E01026117,East Lindsey 008E,870,230,26.4,142,16.3,88,10.1,587,67.5,172,19.8,282,32.4,163,18.7,75,8.6,44,5.1,83,9.5,45,5.2,25,2.9,13,1.5,45,5.2,16,1.8,29,3.3,5,0.6,5,0.6,53,6.1,20,2.3,33,3.8
E01026118,East Lindsey 016E,853,227,26.6,175,20.5,52,6.1,601,70.5,227,26.6,268,31.4,136,15.9,90,10.6,42,4.9,63,7.4,32,3.8,26,3.0,5,0.6,43,5.0,19,2.2,24,2.8,0,0.0,0,0.0,25,2.9,4,0.5,21,2.5
E01026119,East Lindsey 016F,511,139,27.2,110,21.5,29,5.7,356,69.7,143,28.0,174,34.1,89,17.4,62,12.1,23,4.5,29,5.7,20,3.9,8,1.6,1,0.2,8,1.6,1,0.2,7,1.4,2,0.4,2,0.4,16,3.1,7,1.4,9,1.8
E01026120,East Lindsey 016G,736,299,40.6,176,23.9,123,16.7,410,55.7,104,14.1,183,24.9,78,10.6,71,9.6,34,4.6,56,7.6,41,5.6,13,1.8,2,0.3,65,8.8,45,6.1,20,2.7,2,0.3,2,0.3,27,3.7,10,1.4,17,2.3
E01026121,East Lindsey 007C,1157,340,29.4,177,15.3,163,14.1,774,66.9,177,15.3,350,30.3,162,14.0,128,11.1,60,5.2,151,13.1,91,7.9,53,4.6,7,0.6,83,7.2,51,4.4,32,2.8,13,1.1,13,1.1,43,3.7,21,1.8,22,1.9
E01026122,Lincoln 004A,804,324,40.3,56,7.0,268,33.3,350,43.5,22,2.7,141,17.5,61,7.6,61,7.6,19,2.4,119,14.8,93,11.6,21,2.6,5,0.6,54,6.7,36,4.5,18,2.2,14,1.7,14,1.7,130,16.2,17,2.1,113,14.1
E01026123,Lincoln 004B,1056,346,32.8,74,7.0,272,25.8,624,59.1,35,3.3,272,25.8,80,7.6,163,15.4,29,2.7,143,13.5,71,6.7,66,6.2,6,0.6,164,15.5,126,11.9,38,3.6,10,0.9,10,0.9,86,8.1,35,3.3,51,4.8
E01026124,Lincoln 004C,749,237,31.6,45,6.0,192,25.6,386,51.5,13,1.7,136,18.2,53,7.1,68,9.1,15,2.0,136,18.2,87,11.6,43,5.7,6,0.8,84,11.2,62,8.3,22,2.9,17,2.3,17,2.3,126,16.8,25,3.3,101,13.5
E01026125,Lincoln 003A,519,166,32.0,45,8.7,121,23.3,313,60.3,34,6.6,124,23.9,46,8.9,55,10.6,23,4.4,88,17.0,68,13.1,16,3.1,4,0.8,57,11.0,38,7.3,19,3.7,10,1.9,10,1.9,40,7.7,14,2.7,26,5.0
E01026126,Lincoln 004D,917,429,46.8,91,9.9,338,36.9,362,39.5,23,2.5,107,11.7,46,5.0,44,4.8,17,1.9,116,12.6,79,8.6,33,3.6,4,0.4,101,11.0,69,7.5,32,3.5,15,1.6,15,1.6,126,13.7,21,2.3,105,11.5
E01026127,Lincoln 007A,632,215,34.0,87,13.8,128,20.3,386,61.1,23,3.6,117,18.5,43,6.8,49,7.8,25,4.0,102,16.1,50,7.9,44,7.0,8,1.3,140,22.2,109,17.2,31,4.9,4,0.6,4,0.6,31,4.9,19,3.0,12,1.9
E01026129,Lincoln 007C,723,219,30.3,44,6.1,175,24.2,461,63.8,16,2.2,141,19.5,47,6.5,69,9.5,25,3.5,120,16.6,47,6.5,58,8.0,15,2.1,182,25.2,142,19.6,40,5.5,2,0.3,2,0.3,43,5.9,12,1.7,31,4.3
E01026130,Lincoln 009A,625,168,26.9,108,17.3,60,9.6,436,69.8,113,18.1,202,32.3,98,15.7,71,11.4,33,5.3,70,11.2,34,5.4,34,5.4,2,0.3,48,7.7,22,3.5,26,4.2,3,0.5,3,0.5,21,3.4,9,1.4,12,1.9
E01026131,Lincoln 007D,604,180,29.8,86,14.2,94,15.6,391,64.7,68,11.3,170,28.1,65,10.8,56,9.3,49,8.1,85,14.1,35,5.8,45,7.5,5,0.8,65,10.8,45,7.5,20,3.3,3,0.5,3,0.5,33,5.5,11,1.8,22,3.6
E01026132,Lincoln 005A,779,377,48.4,73,9.4,304,39.0,271,34.8,15,1.9,83,10.7,44,5.6,32,4.1,7,0.9,114,14.6,101,13.0,13,1.7,0,0.0,45,5.8,27,3.5,18,2.3,14,1.8,14,1.8,131,16.8,10,1.3,121,15.5
E01026134,Lincoln 006A,941,394,41.9,101,10.7,293,31.1,413,43.9,11,1.2,144,15.3,65,6.9,61,6.5,18,1.9,167,17.7,117,12.4,45,4.8,5,0.5,71,7.5,42,4.5,29,3.1,20,2.1,20,2.1,134,14.2,23,2.4,111,11.8
E01026135,Lincoln 008B,758,189,24.9,105,13.9,84,11.1,538,71.0,107,14.1,273,36.0,109,14.4,107,14.1,57,7.5,92,12.1,56,7.4,30,4.0,6,0.8,66,8.7,34,4.5,32,4.2,0,0.0,0,0.0,31,4.1,10,1.3,21,2.8
E01026136,Lincoln 008C,786,217,27.6,104,13.2,113,14.4,535,68.1,85,10.8,237,30.2,95,12.1,94,12.0,48,6.1,130,16.5,80,10.2,39,5.0,11,1.4,79,10.1,49,6.2,30,3.8,4,0.5,4,0.5,34,4.3,17,2.2,17,2.2
E01026137,Lincoln 011A,479,122,25.5,57,11.9,65,13.6,331,69.1,45,9.4,182,38.0,65,13.6,69,14.4,48,10.0,57,11.9,24,5.0,29,6.1,4,0.8,46,9.6,26,5.4,20,4.2,1,0.2,1,0.2,26,5.4,11,2.3,15,3.1
E01026138,Lincoln 011B,624,157,25.2,94,15.1,63,10.1,445,71.3,92,14.7,215,34.5,95,15.2,75,12.0,45,7.2,85,13.6,33,5.3,47,7.5,5,0.8,53,8.5,32,5.1,21,3.4,0,0.0,0,0.0,22,3.5,13,2.1,9,1.4
E01026139,Lincoln 011C,568,120,21.1,73,12.9,47,8.3,425,74.8,77,13.6,208,36.6,84,14.8,97,17.1,27,4.8,83,14.6,42,7.4,35,6.2,6,1.1,56,9.9,37,6.5,19,3.3,1,0.2,1,0.2,23,4.0,7,1.2,16,2.8
E01026140,Lincoln 011D,626,232,37.1,86,13.7,146,23.3,368,58.8,34,5.4,152,24.3,65,10.4,57,9.1,30,4.8,94,15.0,54,8.6,36,5.8,4,0.6,87,13.9,60,9.6,27,4.3,1,0.2,1,0.2,26,4.2,9,1.4,17,2.7
E01026141,Lincoln 011E,594,103,17.3,51,8.6,52,8.8,464,78.1,61,10.3,261,43.9,80,13.5,126,21.2,55,9.3,81,13.6,28,4.7,48,8.1,5,0.8,61,10.3,32,5.4,29,4.9,0,0.0,0,0.0,27,4.5,10,1.7,17,2.9
E01026142,Lincoln 011F,506,138,27.3,61,12.1,77,15.2,339,67.0,48,9.5,149,29.4,58,11.5,61,12.1,30,5.9,65,12.8,36,7.1,22,4.3,7,1.4,75,14.8,55,10.9,20,4.0,2,0.4,2,0.4,29,5.7,10,2.0,19,3.8
E01026144,Lincoln 003B,885,265,29.9,74,8.4,191,21.6,396,44.7,20,2.3,194,21.9,60,6.8,106,12.0,28,3.2,96,10.8,70,7.9,22,2.5,4,0.5,79,8.9,55,6.2,24,2.7,7,0.8,7,0.8,224,25.3,12,1.4,212,24.0
E01026145,Lincoln 005C,656,213,32.5,57,8.7,156,23.8,300,45.7,33,5.0,139,21.2,67,10.2,54,8.2,18,2.7,88,13.4,67,10.2,18,2.7,3,0.5,37,5.6,22,3.4,15,2.3,3,0.5,3,0.5,143,21.8,12,1.8,131,20.0
E01026146,Lincoln 005D,736,293,39.8,106,14.4,187,25.4,187,25.4,11,1.5,50,6.8,19,2.6,19,2.6,12,1.6,75,10.2,59,8.0,13,1.8,3,0.4,40,5.4,29,3.9,11,1.5,11,1.5,11,1.5,256,34.8,7,1.0,249,33.8
E01026147,Lincoln 003C,1069,314,29.4,119,11.1,195,18.2,668,62.5,79,7.4,324,30.3,131,12.3,157,14.7,36,3.4,183,17.1,135,12.6,47,4.4,1,0.1,72,6.7,41,3.8,31,2.9,10,0.9,10,0.9,87,8.1,20,1.9,67,6.3
E01026148,Lincoln 003D,973,432,44.4,142,14.6,290,29.8,419,43.1,40,4.1,124,12.7,68,7.0,40,4.1,16,1.6,145,14.9,115,11.8,28,2.9,2,0.2,97,10.0,58,6.0,39,4.0,13,1.3,13,1.3,122,12.5,8,0.8,114,11.7
E01026149,Lincoln 001A,781,286,36.6,107,13.7,179,22.9,456,58.4,50,6.4,195,25.0,83,10.6,83,10.6,29,3.7,98,12.5,52,6.7,39,5.0,7,0.9,110,14.1,73,9.3,37,4.7,3,0.4,3,0.4,39,5.0,13,1.7,26,3.3
E01026150,Lincoln 001B,857,373,43.5,102,11.9,271,31.6,449,52.4,30,3.5,143,16.7,55,6.4,66,7.7,22,2.6,113,13.2,60,7.0,49,5.7,4,0.5,149,17.4,112,13.1,37,4.3,14,1.6,14,1.6,35,4.1,10,1.2,25,2.9
E01026151,Lincoln 003E,965,341,35.3,165,17.1,176,18.2,558,57.8,79,8.2,221,22.9,81,8.4,109,11.3,31,3.2,159,16.5,107,11.1,46,4.8,6,0.6,89,9.2,64,6.6,25,2.6,10,1.0,10,1.0,66,6.8,22,2.3,44,4.6
E01026152,Lincoln 004E,569,137,24.1,50,8.8,87,15.3,389,68.4,14,2.5,123,21.6,31,5.4,69,12.1,23,4.0,92,16.2,21,3.7,62,10.9,9,1.6,156,27.4,104,18.3,52,9.1,4,0.7,4,0.7,43,7.6,21,3.7,22,3.9
E01026153,Lincoln 002A,1096,362,33.0,150,13.7,212,19.3,666,60.8,82,7.5,327,29.8,121,11.0,156,14.2,50,4.6,170,15.5,92,8.4,71,6.5,7,0.6,81,7.4,51,4.7,30,2.7,6,0.5,6,0.5,68,6.2,23,2.1,45,4.1
E01026154,Lincoln 004F,528,118,22.3,49,9.3,69,13.1,373,70.6,37,7.0,162,30.7,49,9.3,77,14.6,36,6.8,72,13.6,26,4.9,34,6.4,12,2.3,95,18.0,61,11.6,34,6.4,7,1.3,7,1.3,37,7.0,16,3.0,21,4.0
E01026155,Lincoln 002B,813,236,29.0,85,10.5,151,18.6,541,66.5,61,7.5,267,32.8,109,13.4,121,14.9,37,4.6,135,16.6,86,10.6,42,5.2,7,0.9,76,9.3,56,6.9,20,2.5,2,0.2,2,0.2,36,4.4,12,1.5,24,3.0
E01026156,Lincoln 004G,489,109,22.3,47,9.6,62,12.7,345,70.6,26,5.3,147,30.1,49,10.0,68,13.9,30,6.1,76,15.5,30,6.1,39,8.0,7,1.4,96,19.6,53,10.8,43,8.8,0,0.0,0,0.0,35,7.2,17,3.5,18,3.7
E01026157,Lincoln 002C,641,222,34.6,105,16.4,117,18.3,397,61.9,73,11.4,136,21.2,69,10.8,43,6.7,24,3.7,80,12.5,29,4.5,46,7.2,5,0.8,104,16.2,70,10.9,34,5.3,4,0.6,4,0.6,22,3.4,6,0.9,16,2.5
E01026158,Lincoln 009B,657,209,31.8,124,18.9,85,12.9,425,64.7,122,18.6,181,27.5,81,12.3,56,8.5,44,6.7,77,11.7,50,7.6,22,3.3,5,0.8,43,6.5,21,3.2,22,3.3,2,0.3,2,0.3,23,3.5,10,1.5,13,2.0
E01026159,Lincoln 009C,657,209,31.8,77,11.7,132,20.1,425,64.7,42,6.4,194,29.5,84,12.8,76,11.6,34,5.2,102,15.5,57,8.7,40,6.1,5,0.8,85,12.9,65,9.9,20,3.0,2,0.3,2,0.3,23,3.5,11,1.7,12,1.8
E01026160,Lincoln 009D,611,173,28.3,69,11.3,104,17.0,420,68.7,87,14.2,188,30.8,84,13.7,72,11.8,32,5.2,91,14.9,56,9.2,32,5.2,3,0.5,53,8.7,29,4.7,24,3.9,1,0.2,1,0.2,18,2.9,7,1.1,11,1.8
E01026161,Lincoln 010A,659,281,42.6,98,14.9,183,27.8,348,52.8,35,5.3,135,20.5,71,10.8,47,7.1,17,2.6,69,10.5,37,5.6,29,4.4,3,0.5,100,15.2,74,11.2,26,3.9,9,1.4,9,1.4,30,4.6,16,2.4,14,2.1
E01026162,Lincoln 009E,643,192,29.9,107,16.6,85,13.2,418,65.0,85,13.2,193,30.0,87,13.5,72,11.2,34,5.3,74,11.5,21,3.3,49,7.6,4,0.6,61,9.5,35,5.4,26,4.0,5,0.8,5,0.8,33,5.1,17,2.6,16,2.5
E01026163,Lincoln 009F,602,177,29.4,64,10.6,113,18.8,407,67.6,69,11.5,190,31.6,85,14.1,69,11.5,36,6.0,104,17.3,62,10.3,37,6.1,5,0.8,41,6.8,26,4.3,15,2.5,3,0.5,3,0.5,18,3.0,8,1.3,10,1.7
E01026164,Lincoln 003F,565,159,28.1,91,16.1,68,12.0,373,66.0,71,12.6,215,38.1,86,15.2,91,16.1,38,6.7,50,8.8,26,4.6,21,3.7,3,0.5,34,6.0,18,3.2,16,2.8,3,0.5,3,0.5,33,5.8,5,0.9,28,5.0
E01026165,Lincoln 002D,832,330,39.7,160,19.2,170,20.4,469,56.4,55,6.6,161,19.4,71,8.5,58,7.0,32,3.8,136,16.3,74,8.9,59,7.1,3,0.4,111,13.3,78,9.4,33,4.0,6,0.7,6,0.7,33,4.0,12,1.4,21,2.5
E01026166,Lincoln 001C,603,189,31.3,74,12.3,115,19.1,365,60.5,38,6.3,126,20.9,44,7.3,55,9.1,27,4.5,73,12.1,26,4.3,45,7.5,2,0.3,118,19.6,80,13.3,38,6.3,10,1.7,10,1.7,49,8.1,17,2.8,32,5.3
E01026167,Lincoln 003G,809,312,38.6,148,18.3,164,20.3,442,54.6,101,12.5,226,27.9,113,14.0,86,10.6,27,3.3,87,10.8,70,8.7,17,2.1,0,0.0,26,3.2,15,1.9,11,1.4,2,0.2,2,0.2,55,6.8,13,1.6,42,5.2
E01026168,Lincoln 001D,694,204,29.4,43,6.2,161,23.2,456,65.7,28,4.0,147,21.2,42,6.1,68,9.8,37,5.3,117,16.9,42,6.1,69,9.9,6,0.9,154,22.2,111,16.0,43,6.2,10,1.4,10,1.4,34,4.9,11,1.6,23,3.3
E01026169,Lincoln 011G,724,204,28.2,117,16.2,87,12.0,473,65.3,106,14.6,225,31.1,86,11.9,83,11.5,56,7.7,74,10.2,41,5.7,29,4.0,4,0.6,67,9.3,30,4.1,37,5.1,1,0.1,1,0.1,47,6.5,24,3.3,23,3.2
E01026170,Lincoln 010B,646,160,24.8,70,10.8,90,13.9,459,71.1,52,8.0,190,29.4,90,13.9,68,10.5,32,5.0,111,17.2,51,7.9,54,8.4,6,0.9,103,15.9,71,11.0,32,5.0,3,0.5,3,0.5,27,4.2,12,1.9,15,2.3
E01026171,Lincoln 011H,694,208,30.0,134,19.3,74,10.7,459,66.1,123,17.7,213,30.7,92,13.3,81,11.7,40,5.8,77,11.1,41,5.9,30,4.3,6,0.9,45,6.5,16,2.3,29,4.2,1,0.1,1,0.1,27,3.9,9,1.3,18,2.6
E01026172,Lincoln 010C,643,196,30.5,75,11.7,121,18.8,398,61.9,26,4.0,189,29.4,62,9.6,86,13.4,41,6.4,88,13.7,29,4.5,58,9.0,1,0.2,91,14.2,65,10.1,26,4.0,4,0.6,4,0.6,49,7.6,24,3.7,25,3.9
E01026173,Lincoln 010D,695,256,36.8,67,9.6,189,27.2,403,58.0,16,2.3,115,16.5,35,5.0,61,8.8,19,2.7,94,13.5,25,3.6,59,8.5,10,1.4,173,24.9,116,16.7,57,8.2,5,0.7,5,0.7,36,5.2,19,2.7,17,2.4
E01026174,Lincoln 008D,659,243,36.9,44,6.7,199,30.2,355,53.9,17,2.6,134,20.3,54,8.2,55,8.3,25,3.8,124,18.8,73,11.1,48,7.3,3,0.5,69,10.5,42,6.4,27,4.1,11,1.7,11,1.7,61,9.3,17,2.6,44,6.7
E01026175,Lincoln 010E,933,405,43.4,85,9.1,320,34.3,432,46.3,17,1.8,122,13.1,51,5.5,53,5.7,18,1.9,172,18.4,111,11.9,59,6.3,2,0.2,112,12.0,85,9.1,27,2.9,9,1.0,9,1.0,96,10.3,31,3.3,65,7.0
E01026176,Lincoln 006B,1014,471,46.4,63,6.2,408,40.2,354,34.9,12,1.2,98,9.7,37,3.6,53,5.2,8,0.8,149,14.7,103,10.2,42,4.1,4,0.4,66,6.5,46,4.5,20,2.0,29,2.9,29,2.9,189,18.6,28,2.8,161,15.9
E01026177,Lincoln 006C,816,203,24.9,34,4.2,169,20.7,361,44.2,10,1.2,120,14.7,36,4.4,71,8.7,13,1.6,125,15.3,75,9.2,44,5.4,6,0.7,85,10.4,62,7.6,23,2.8,21,2.6,21,2.6,252,30.9,52,6.4,200,24.5
E01026178,Lincoln 006D,801,257,32.1,68,8.5,189,23.6,357,44.6,26,3.2,124,15.5,49,6.1,57,7.1,18,2.2,118,14.7,90,11.2,22,2.7,6,0.7,74,9.2,40,5.0,34,4.2,15,1.9,15,1.9,187,23.3,29,3.6,158,19.7
E01026179,North Kesteven 008A,417,71,17.0,30,7.2,41,9.8,338,81.1,44,10.6,231,55.4,79,18.9,137,32.9,15,3.6,36,8.6,19,4.6,16,3.8,1,0.2,26,6.2,17,4.1,9,2.2,1,0.2,1,0.2,8,1.9,3,0.7,5,1.2
E01026180,North Kesteven 007A,617,157,25.4,83,13.5,74,12.0,430,69.7,98,15.9,234,37.9,109,17.7,91,14.7,34,5.5,53,8.6,32,5.2,15,2.4,6,1.0,44,7.1,22,3.6,22,3.6,1,0.2,1,0.2,30,4.9,12,1.9,18,2.9
E01026182,North Kesteven 003B,633,170,26.9,80,12.6,90,14.2,438,69.2,91,14.4,241,38.1,85,13.4,105,16.6,51,8.1,61,9.6,35,5.5,26,4.1,0,0.0,44,7.0,27,4.3,17,2.7,1,0.2,1,0.2,25,3.9,11,1.7,14,2.2
E01026183,North Kesteven 007B,1190,354,29.7,180,15.1,174,14.6,786,66.1,158,13.3,390,32.8,191,16.1,128,10.8,71,6.0,127,10.7,53,4.5,65,5.5,9,0.8,109,9.2,80,6.7,29,2.4,2,0.2,2,0.2,50,4.2,25,2.1,25,2.1
E01026184,North Kesteven 004A,584,95,16.3,39,6.7,56,9.6,479,82.0,31,5.3,329,56.3,95,16.3,218,37.3,16,2.7,84,14.4,53,9.1,29,5.0,2,0.3,31,5.3,21,3.6,10,1.7,4,0.7,4,0.7,10,1.7,6,1.0,4,0.7
E01026185,North Kesteven 004B,993,315,31.7,175,17.6,140,14.1,643,64.8,111,11.2,325,32.7,137,13.8,126,12.7,62,6.2,134,13.5,76,7.7,50,5.0,8,0.8,71,7.2,38,3.8,33,3.3,2,0.2,2,0.2,35,3.5,12,1.2,23,2.3
E01026186,North Kesteven 001A,740,186,25.1,107,14.5,79,10.7,523,70.7,122,16.5,262,35.4,125,16.9,95,12.8,42,5.7,69,9.3,43,5.8,25,3.4,1,0.1,65,8.8,47,6.4,18,2.4,5,0.7,5,0.7,31,4.2,13,1.8,18,2.4
E01026187,North Kesteven 001B,774,168,21.7,53,6.8,115,14.9,578,74.7,48,6.2,334,43.2,121,15.6,144,18.6,69,8.9,119,15.4,76,9.8,43,5.6,0,0.0,73,9.4,52,6.7,21,2.7,4,0.5,4,0.5,28,3.6,9,1.2,19,2.5
E01026188,North Kesteven 004C,1032,371,35.9,185,17.9,186,18.0,621,60.2,84,8.1,285,27.6,118,11.4,127,12.3,40,3.9,137,13.3,67,6.5,63,6.1,7,0.7,109,10.6,75,7.3,34,3.3,6,0.6,6,0.6,40,3.9,15,1.5,25,2.4
E01026189,North Kesteven 001C,818,215,26.3,141,17.2,74,9.0,583,71.3,175,21.4,285,34.8,148,18.1,95,11.6,42,5.1,70,8.6,47,5.7,22,2.7,1,0.1,50,6.1,24,2.9,26,3.2,3,0.4,3,0.4,20,2.4,7,0.9,13,1.6
E01026190,North Kesteven 004D,815,242,29.7,136,16.7,106,13.0,550,67.5,101,12.4,244,29.9,88,10.8,120,14.7,36,4.4,106,13.0,60,7.4,40,4.9,6,0.7,95,11.7,77,9.4,18,2.2,4,0.5,4,0.5,23,2.8,12,1.5,11,1.3
E01026191,North Kesteven 005A,792,183,23.1,93,11.7,90,11.4,580,73.2,94,11.9,302,38.1,123,15.5,125,15.8,54,6.8,117,14.8,65,8.2,48,6.1,4,0.5,66,8.3,45,5.7,21,2.7,1,0.1,1,0.1,29,3.7,15,1.9,14,1.8
E01026192,North Kesteven 006A,529,137,25.9,70,13.2,67,12.7,368,69.6,86,16.3,197,37.2,91,17.2,69,13.0,37,7.0,60,11.3,30,5.7,28,5.3,2,0.4,25,4.7,19,3.6,6,1.1,0,0.0,0,0.0,24,4.5,9,1.7,15,2.8
E01026193,North Kesteven 003C,647,132,20.4,75,11.6,57,8.8,492,76.0,106,16.4,282,43.6,126,19.5,106,16.4,50,7.7,72,11.1,50,7.7,18,2.8,4,0.6,30,4.6,15,2.3,15,2.3,2,0.3,2,0.3,23,3.6,5,0.8,18,2.8
E01026194,North Kesteven 006B,930,255,27.4,149,16.0,106,11.4,656,70.5,161,17.3,322,34.6,124,13.3,140,15.1,58,6.2,98,10.5,51,5.5,46,4.9,1,0.1,72,7.7,41,4.4,31,3.3,3,0.3,3,0.3,19,2.0,6,0.6,13,1.4
E01026195,North Kesteven 006C,829,198,23.9,120,14.5,78,9.4,599,72.3,156,18.8,326,39.3,145,17.5,118,14.2,63,7.6,76,9.2,41,4.9,29,3.5,6,0.7,40,4.8,22,2.7,18,2.2,1,0.1,1,0.1,32,3.9,10,1.2,22,2.7
E01026196,North Kesteven 006D,656,183,27.9,113,17.2,70,10.7,453,69.1,122,18.6,237,36.1,106,16.2,82,12.5,49,7.5,63,9.6,39,5.9,21,3.2,3,0.5,31,4.7,12,1.8,19,2.9,0,0.0,0,0.0,20,3.0,8,1.2,12,1.8
E01026197,North Kesteven 008B,639,171,26.8,74,11.6,97,15.2,446,69.8,102,16.0,248,38.8,114,17.8,101,15.8,33,5.2,57,8.9,33,5.2,23,3.6,1,0.2,36,5.6,25,3.9,11,1.7,3,0.5,3,0.5,22,3.4,6,0.9,16,2.5
E01026198,North Kesteven 008C,467,98,21.0,9,1.9,89,19.1,357,76.4,12,2.6,242,51.8,70,15.0,152,32.5,20,4.3,59,12.6,43,9.2,16,3.4,0,0.0,42,9.0,35,7.5,7,1.5,2,0.4,2,0.4,12,2.6,4,0.9,8,1.7
