LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct,HospWalkt,HospWalk15n,HospWalk30n,HospWalk45n,HospWalk60n,HospWalk15pct,HospWalk30pct,HospWalk45pct,HospWalk60pct
E01026039,East Midlands,E07000136,Boston,521.758773803711,31.5922924017073,0,0.73022312141876,1,1,0,73.022312141876,100,100,29.3239959707032,0,1,1,1,0,100,100,100,17.4611356468571,0,1,1,3.78093306649886,0,100,100,100,70.5749715874932,0,0,0,0,0,0,0,0
E01026040,East Midlands,E07000136,Boston,525.992118835449,34.4600412255104,0,0.490945680377334,0.734406440674716,1,0,49.0945680377334,73.4406440674716,100,29.5494361655128,0,0.490945680377334,1,1,0,49.0945680377334,100,100,18.0632397358112,0,1,1,3,0,100,100,100,70.3701803535964,0,0,0,0,0,0,0,0
E01026041,East Midlands,E07000136,Boston,648.758911132813,30.7489397226292,0,0.404567693103174,1,1,0,40.4567693103174,100,100,31.1913213376938,0,0,1,1,0,0,100,100,18.3610604635099,0,1,1,3,0,100,100,100,76.4631148884356,0,0,0,0,0,0,0,0
E01026042,East Midlands,E07000137,East Lindsey,717.436431884766,72.5294338272043,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,56.7253121939127,0,0,0,2,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026043,East Midlands,E07000137,East Lindsey,768.681900024414,74.7831802328668,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,56.5184172202581,0,0,0,2,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026044,East Midlands,E07000137,East Lindsey,626.689254760742,98.2136295784823,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,63.3280410531744,0,0,0,0.616695069310592,0,0,0,40.2044296437361,120,0,0,0,0,0,0,0,0
E01026045,East Midlands,E07000137,East Lindsey,919.215438842773,74.6869343329746,0,0,0,0.428571425014329,0,0,0,42.8571425014329,67.2054342383226,0,0,0,0,0,0,0,0,29.5389549848513,0,0.766550515678483,1,2.15331010811564,0,76.6550515678483,100,100,120,0,0,0,0,0,0,0,0
E01026046,East Midlands,E07000137,East Lindsey,566.902877807617,94.4631456333979,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,52.6216761260088,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026047,East Midlands,E07000137,East Lindsey,627.756858825684,96.2334525979754,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,51.2925338828059,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026048,East Midlands,E07000137,East Lindsey,807.115982055664,98.4043646142668,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,66.1638879708272,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
