LSOA_code,Region,LA_Code,LA_Name,Ph_pop,PhCyct,PhCyc15n,PhCyc30n,PhCyc45n,PhCyc60n,PhCyc15pct,PhCyc30pct,PhCyc45pct,PhCyc60pct,PhCart,PhCar15n,PhCar30n,PhCar45n,PhCar60n,PhCar15pct,PhCar30pct,PhCar45pct,PhCar60pct
E01026105,East Midlands,E07000137,East Lindsey,977,29.9330679362769,0,0.72057318321392,2.22517911975435,3.77993858751279,--,36.028659160696,100,100,14.1679914244446,1.11668372569089,8.20163766632549,10,10,63.2548618219038,100,100,100
E01026106,East Midlands,E07000137,East Lindsey,509,21.6202996128769,0,2.475442043222,10,10,--,100,100,100,11.6731361349746,5.16502946954813,10,10,10,100,100,100,100
E01026107,East Midlands,E07000137,East Lindsey,492,35.4676939955717,0,0.841463414634146,4.41056910569106,8.33333333333333,--,28.0487804878049,66.6666666666667,100,17.595053376863,1.40243902439024,10,10,10,28.0487804878049,100,100,100
E01026108,East Midlands,E07000137,East Lindsey,1070,10.270969685478,4,4,4,4,100,100,100,100,8.03908348268846,4,8.3214953271028,10,10,100,100,100,100
E01026109,East Midlands,E07000137,East Lindsey,1170,10.0107506296697,2.95982905982906,5,5,6.41709401709402,100,100,100,100,7.96873157834214,5,7.96837606837607,10,10,100,100,100,100
E01026110,East Midlands,E07000137,East Lindsey,656,9.68644402420347,0.913109756097561,1,5.5655487804878,6.52591463414634,91.3109756097561,100,100,100,7.7264787647238,1.8780487804878,9,10,10,100,100,100,100
E01026111,East Midlands,E07000137,East Lindsey,664,27.8658448653007,0,0.831325301204819,1,4.5210843373494,--,83.1325301204819,100,100,13.3817205239066,0.831325301204819,9.49397590361446,10,10,83.1325301204819,100,100,100
E01026112,East Midlands,E07000137,East Lindsey,510,6.14144810418783,1,1,6,7.47450980392157,100,100,100,100,5.22590505818638,2.73529411764706,9,10,10,100,100,100,100
E01026113,East Midlands,E07000137,East Lindsey,903,30.0951047637379,0,0.471760797342193,3.84274640088594,8.37209302325581,--,47.1760797342193,100,100,13.9863755249016,0.719822812846069,9.78073089700997,10,10,71.9822812846069,100,100,100
E01026114,East Midlands,E07000137,East Lindsey,743,7.64157261849715,5,7,8.35127860026918,9,100,100,100,100,6.70997341802125,7,10,10,10,100,100,100,100
E01026115,East Midlands,E07000137,East Lindsey,817,15.2823017930116,0.915544675642595,7,8,9,32.0685434516524,100,100,100,9.21705816314281,7,10,10,10,100,100,100,100
E01026116,East Midlands,E07000137,East Lindsey,726,11.0376779245802,4.15289256198347,7,8.71625344352617,9,100,100,100,100,8.0429288144707,7,10,10,10,100,100,100,100
E01026117,East Midlands,E07000137,East Lindsey,792,33.2957190802667,0,0.718434343434343,3.6780303030303,7.56818181818182,--,33.459595959596,83.0808080808081,100,14.2070630250779,1.77020202020202,10,10,10,61.7424242424242,100,100,100
E01026118,East Midlands,E07000137,East Lindsey,790,10.2506663847509,1,1,2.32405063291139,4.39367088607595,100,100,100,100,7.83000594303056,1.67848101265823,7.7126582278481,10,10,100,100,100,100
E01026119,East Midlands,E07000137,East Lindsey,510,11.66730652863,0.758823529411765,1.24117647058824,3.21960784313726,4,75.8823529411765,100,100,100,8.21245002747411,1.76470588235294,6.51764705882353,10,10,100,100,100,100
E01026120,East Midlands,E07000137,East Lindsey,674,6.99077028459844,1,1,2.65281899109792,4,100,100,100,100,5.91425398991391,2,8.14540059347181,10,10,100,100,100,100
E01026121,East Midlands,E07000137,East Lindsey,1126,10.97836522499,0.728241563055062,1,1.6145648312611,3.18738898756661,72.8241563055062,100,100,100,7.06164454847384,1,9.0639431616341,10,10,100,100,100,100
E01026122,East Midlands,E07000138,Lincoln,771,5.16267903908241,10,10,10,10,100,100,100,100,5.06394163254148,10,10,10,10,100,100,100,100
E01026123,East Midlands,E07000138,Lincoln,1038,9.89626399844749,4.58574181117534,10,10,10,100,100,100,100,7.57232102387396,10,10,10,10,100,100,100,100
E01026124,East Midlands,E07000138,Lincoln,664,6.77216385033222,9.79969879518072,10,10,10,100,100,100,100,5.85838649893195,10,10,10,10,100,100,100,100
E01026125,East Midlands,E07000138,Lincoln,515,9.34519204867481,10,10,10,10,100,100,100,100,7.31540330485101,10,10,10,10,100,100,100,100
E01026126,East Midlands,E07000138,Lincoln,877,4.01559613319012,10,10,10,10,100,100,100,100,3.9804027994286,10,10,10,10,100,100,100,100
E01026127,East Midlands,E07000138,Lincoln,658,7.75745351386855,2,10,10,10,100,100,100,100,6.85099425241841,8.79331306990881,10,10,10,100,100,100,100
E01026128,East Midlands,E07000138,Lincoln,1220,9.49567957449925,2,10,10,10,100,100,100,100,7.83114916645141,9.64590163934426,10,10,10,100,100,100,100
E01026129,East Midlands,E07000138,Lincoln,726,8.25832696769904,2,10,10,10,100,100,100,100,7.28716903119602,8.9297520661157,10,10,10,100,100,100,100
E01026130,East Midlands,E07000138,Lincoln,605,11.6626541275489,2.39338842975207,10,10,10,100,100,100,100,8.83965779329887,7.52231404958678,10,10,10,100,100,100,100
E01026131,East Midlands,E07000138,Lincoln,614,7.96151294039624,2.18241042345277,10,10,10,100,100,100,100,7.03166792238946,9.27035830618892,10,10,10,100,100,100,100
E01026132,East Midlands,E07000138,Lincoln,808,6.45816773229594,10,10,10,10,100,100,100,100,6.39103402240223,10,10,10,10,100,100,100,100
