LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct,GPWalkt,GPWalk15n,GPWalk30n,GPWalk45n,GPWalk60n,GPWalk15pct,GPWalk30pct,GPWalk45pct,GPWalk60pct
E01026264,East Midlands,E07000140,South Holland,675.988945007324,21.4855976396516,0,3,7.03144651972762,10,0,100,100,100,12.875817386533,1.58805031279731,3,4,6.80817609761216,100,100,100,100,9.1754560784833,3,10,10,10,100,100,100,100,24.4586476701096,0,1.99842766442029,3,3,0,100,100,100
E01026265,East Midlands,E07000140,South Holland,543.129486083984,25.9725436070093,0,1.46966730903121,4.70645790727307,7.89628177180238,0,100,100,100,16.752269971806,0.487279844708741,3,3.76320940175815,6.00391388745249,48.7279844708741,100,100,100,10.7739721294929,3,10,10,10,100,100,100,100,38.0145989494772,0,0,1.48336595725625,2.52641880351629,0,0,76.3209401758146,100
E01026266,East Midlands,E07000140,South Holland,976.782791137695,13.6846245706868,0.529923835774733,2.82154516175781,9.45048966063702,10,52.9923835774733,100,100,100,9.42090311586241,2.52992383577473,3,4,7,100,100,100,100,8.15624597065463,3,10,10,10,100,100,100,100,13.6846245706868,0.529923835774733,2.36996735595753,3,3,52.9923835774733,100,100,100
E01026267,East Midlands,E07000140,South Holland,1251.00470733643,22.54892072015,0,1.90229397466291,5.49532712320845,10,0,100,100,100,12.8385045325997,1.33050127940074,3,4,5.95581987936954,100,100,100,100,9.78638091534738,3,10,10,10,100,100,100,100,24.1324805757883,0,1.33050127940074,2.888700091392,3,0,100,100,100
E01026268,East Midlands,E07000140,South Holland,927.890480041504,15.6522107692523,0.628865976753698,2.07216492955079,3.89461623566778,9.56471932794269,62.8865976753698,89.1179831985672,100,100,10.6213404667171,1.22565863321304,3,4,6.89117983198567,89.1179831985672,100,100,100,7.86812155973161,3,10,10,10,100,100,100,100,17.9723714290656,0.334478801227369,1.22565863321304,2.78235966397134,3,33.4478801227369,89.1179831985672,100,100
E01026269,East Midlands,E07000140,South Holland,983.160018920898,14.7693189685631,0.423783788817345,2.26486486025077,4.68864864906811,9.86162161491021,42.3783788817345,100,100,100,10.0588432770327,1.69081082297525,3,4,7,100,100,100,100,8.01655116461946,3.4054054192477,10,10,10,100,100,100,100,15.4928864670391,0.274594596272448,1.69081082297525,3,3,27.4594596272448,100,100,100
E01026270,East Midlands,E07000140,South Holland,790.779495239258,17.4501744757863,0.9005376508516,2.1774193781805,7.18548391905184,8.90322583757401,72.5806459393501,72.5806459393501,100,100,11.7499594620336,2.28225808147783,4,4.38172043062623,8,100,100,100,100,8.13717745429665,4,10,10,10,100,100,100,100,19.6829298043183,0.205645165102816,2.00806454087133,2.7258064593935,3,20.5645165102816,72.5806459393501,100,100
E01026271,East Midlands,E07000140,South Holland,803.534027099609,14.6775529418951,0.775132269204305,3,8.5859788281921,9.76984127315691,38.7566134602152,100,100,100,10.4985447959104,2.38756613460215,4,4.20238095012029,8,100,100,100,100,8.34767185675025,3.61772486144524,10,10,10,100,100,100,100,14.7033464255473,0.572751319084019,2.5859788281921,3,3,38.7566134602152,100,100,100
E01026272,East Midlands,E07000140,South Holland,594.147521972656,10.028533025315,1.24508049349772,3,8.31842576511018,10,100,100,100,100,8.20744159749774,2.51520571701943,3.50268336484835,4,7.50268336484835,100,100,100,100,6.99604646591194,3.72987477647829,10,10,10,100,100,100,100,10.028533025315,1.24508049349772,2.51520571701943,3,3,100,100,100,100
E01026273,East Midlands,E07000140,South Holland,761.019012451172,15.5788269966526,1.09916200663663,3.38128491513699,6.71787709149964,10,71.7877091499639,100,100,100,10.7834356472874,3,3,5,7.32960893843547,100,100,100,100,8.06057275416382,3,10,10,10,100,100,100,100,15.683212171458,1.09916200663663,3,3,3,71.7877091499639,100,100,100
E01026274,East Midlands,E07000140,South Holland,802.471160888672,20.4758277169324,0,3,5.36688744693696,9.57086095938925,0,100,100,100,13.0824633176536,2.19072848362117,3,4.78543047969462,6.97615896331579,100,100,100,100,9.69015895997858,3,10,10,10,100,100,100,100,23.8252185275853,0,2.18410598822036,3,3,0,100,100,100
E01026275,East Midlands,E07000140,South Holland,913.010231018066,18.7408031399181,0.293364380470817,3.1501746171685,7.56111758831742,10,29.3364380470817,100,100,100,11.6406169584214,2.90570431403667,3,4.67986029623763,7,100,100,100,100,8.30662406219573,3,10,10,10,100,100,100,100,19.2417574774707,0.293364380470817,2.90570431403667,3,3,29.3364380470817,100,100,100
E01026276,East Midlands,E07000140,South Holland,1033.11518859863,20.9218721920104,0.297325089858413,2.15740734490975,4.73251024126477,6.44341558961547,29.7325089858413,85.288065854258,100,100,22.1800206953034,0,1.58436211718575,4.44032921221128,7.80864197193532,0,100,100,100,12.3600824682863,2.61728394387064,10,10,10,100,100,100,100,56.6367890650374,0,0,0.131687247660803,0.90946500246351,0,0,13.1687247660803,75.7201644510239
E01026277,East Midlands,E07000140,South Holland,748.264495849609,22.1315203991475,0,1.8352272660071,4,9.67045453201421,0,100,100,100,25.3050852162268,0,1,2,5.47301135998662,0,100,100,100,12.9696021824037,1.15767045332887,10,10,10,100,100,100,100,66.8889481709539,0,0,0,0,0,0,0,0
E01026278,East Midlands,E07000140,South Holland,647.291309356689,42.9341045869917,0,0.967159305906248,2.76518888842325,6.71592789148255,0,59.2775057318025,78.98193868936,78.98193868936,29.9808865430768,0,0.592775057318025,1.7898193868936,4.67651894070357,0,59.2775057318025,100,100,15.1799012481202,0.967159305906248,9.19868640995352,10,10,59.2775057318025,100,100,100,81.7429541472966,0,0,0,0,0,0,0,0
E01026279,East Midlands,E07000140,South Holland,652.605682373047,21.4684689731602,0,1.55537461263565,4,9.11074922527131,0,100,100,100,22.9506836707465,0,1,2,5,0,100,100,100,12.6233713232798,1,10,10,10,100,100,100,100,59.0249670669009,0,0,0,0.555374612635654,0,0,0,55.5374612635654
E01026280,East Midlands,E07000140,South Holland,1084.13321685791,53.0036282371926,0,0,0.391176467752609,1.51862743593294,0,0,39.1176467752609,73.6274500427725,33.3019412042188,0,0.143137257427117,1.97352940888768,4.74509804252737,0,14.3137257427117,100,100,16.6451081056142,0.143137257427117,7.01960784396517,10,10,14.3137257427117,100,100,100,93.2629022187013,0,0,0,0,0,0,0,0
E01026281,East Midlands,E07000140,South Holland,571.827117919922,25.3909849242265,0,2.86617091562962,3.86431219613621,5.57620808628369,0,47.7695152604937,100,100,19.6808738707623,0,3.18773232325901,5.42007434130814,7,0,100,100,100,11.1831411696874,3.47769515260494,10,10,10,100,100,100,100,48.1405207192262,0,0,0.477695152604937,0.953531585716465,0,0,47.7695152604937,71.003717065407
E01026282,East Midlands,E07000140,South Holland,757.830390930176,24.4976156855185,0.433380091451409,1.62833097982293,3.6605890375192,5.24544175297086,43.3380091451409,61.0098172919867,61.0098172919867,100,16.2052736565514,0.433380091451409,2.22019634583973,4.66199157971313,7,43.3380091451409,100,100,100,9.68173895591053,2.6914445932912,10,10,10,83.1697060953528,100,100,100,37.0540250629216,0.433380091451409,0.433380091451409,0.610098172919867,0.610098172919867,43.3380091451409,43.3380091451409,61.0098172919867,61.0098172919867
E01026283,East Midlands,E07000140,South Holland,771.647796630859,32.2533332327089,0.46005509908799,1.3691459937976,2.52754821911735,3.81955924684467,46.005509908799,46.005509908799,46.005509908799,83.1955928639325,14.7796277411081,0.46005509908799,3,5.29201102772732,8.30716252550142,46.005509908799,100,100,100,8.99121230743896,3.22176307194421,10,10,10,100,100,100,100,32.2533332327089,0.46005509908799,0.46005509908799,0.46005509908799,0.831955928639325,46.005509908799,46.005509908799,46.005509908799,83.1955928639325
E01026284,East Midlands,E07000140,South Holland,830.10591506958,37.4477211628765,0,0,1.42637642852812,3.76568501371634,0,0,81.5620988975622,100,30.9576831891037,0,0.798975659293759,4.42637642852812,6.2010243223245,0,38.9244560447505,100,100,13.7701280299443,2.01280407501063,10,10,10,100,100,100,100,79.3360703126794,0,0,0,0,0,0,0,0
E01026285,East Midlands,E07000140,South Holland,647.291305541992,26.0595894917117,0,2.51067325731999,4.20032846793877,5.82594421714418,0,78.6535301492899,78.6535301492899,100,18.8349422696107,0.563218403539596,2.3497537050325,5.11658460763299,7,56.3218403539596,100,100,100,10.9033334862268,2.12643680707919,9.7865353014929,10,10,100,100,100,100,45.6925271164529,0,0.379310350517692,0.747126456561501,1.68965521061879,0,37.9310350517692,56.3218403539596,56.3218403539596
E01026286,East Midlands,E07000140,South Holland,529.312118530273,23.6107217371625,0,2.76305222874837,5.45381528593546,7.38152611437419,0,69.0763057187093,100,100,16.1705216853397,0.381526114374185,3,5.07228917156128,7.92771082843872,38.1526114374185,100,100,100,9.21718870924806,3,10,10,10,100,100,100,100,36.1250194673257,0,0,2,2.69076305718709,0,0,100,100
